=== Imitation Learning Raw Episode Data ===
Training Started: 2025-09-05_12:00:10
Number of Environments: 30

Learner Loss env 1,Learner Rewards env 1,Learner Dones env 1,Expert Rewards env 1,Expert Dones env 1,Learner Loss env 2,Learner Rewards env 2,Learner Dones env 2,Expert Rewards env 2,Expert Dones env 2,Learner Loss env 3,Learner Rewards env 3,Learner Dones env 3,Expert Rewards env 3,Expert Dones env 3,Learner Loss env 4,Learner Rewards env 4,Learner Dones env 4,Expert Rewards env 4,Expert Dones env 4,Learner Loss env 5,Learner Rewards env 5,Learner Dones env 5,Expert Rewards env 5,Expert Dones env 5,Learner Loss env 6,Learner Rewards env 6,Learner Dones env 6,Expert Rewards env 6,Expert Dones env 6,Learner Loss env 7,Learner Rewards env 7,Learner Dones env 7,Expert Rewards env 7,Expert Dones env 7,Learner Loss env 8,Learner Rewards env 8,Learner Dones env 8,Expert Rewards env 8,Expert Dones env 8,Learner Loss env 9,Learner Rewards env 9,Learner Dones env 9,Expert Rewards env 9,Expert Dones env 9,Learner Loss env 10,Learner Rewards env 10,Learner Dones env 10,Expert Rewards env 10,Expert Dones env 10,Learner Loss env 11,Learner Rewards env 11,Learner Dones env 11,Expert Rewards env 11,Expert Dones env 11,Learner Loss env 12,Learner Rewards env 12,Learner Dones env 12,Expert Rewards env 12,Expert Dones env 12,Learner Loss env 13,Learner Rewards env 13,Learner Dones env 13,Expert Rewards env 13,Expert Dones env 13,Learner Loss env 14,Learner Rewards env 14,Learner Dones env 14,Expert Rewards env 14,Expert Dones env 14,Learner Loss env 15,Learner Rewards env 15,Learner Dones env 15,Expert Rewards env 15,Expert Dones env 15,Learner Loss env 16,Learner Rewards env 16,Learner Dones env 16,Expert Rewards env 16,Expert Dones env 16,Learner Loss env 17,Learner Rewards env 17,Learner Dones env 17,Expert Rewards env 17,Expert Dones env 17,Learner Loss env 18,Learner Rewards env 18,Learner Dones env 18,Expert Rewards env 18,Expert Dones env 18,Learner Loss env 19,Learner Rewards env 19,Learner Dones env 19,Expert Rewards env 19,Expert Dones env 19,Learner Loss env 20,Learner Rewards env 20,Learner Dones env 20,Expert Rewards env 20,Expert Dones env 20,Learner Loss env 21,Learner Rewards env 21,Learner Dones env 21,Expert Rewards env 21,Expert Dones env 21,Learner Loss env 22,Learner Rewards env 22,Learner Dones env 22,Expert Rewards env 22,Expert Dones env 22,Learner Loss env 23,Learner Rewards env 23,Learner Dones env 23,Expert Rewards env 23,Expert Dones env 23,Learner Loss env 24,Learner Rewards env 24,Learner Dones env 24,Expert Rewards env 24,Expert Dones env 24,Learner Loss env 25,Learner Rewards env 25,Learner Dones env 25,Expert Rewards env 25,Expert Dones env 25,Learner Loss env 26,Learner Rewards env 26,Learner Dones env 26,Expert Rewards env 26,Expert Dones env 26,Learner Loss env 27,Learner Rewards env 27,Learner Dones env 27,Expert Rewards env 27,Expert Dones env 27,Learner Loss env 28,Learner Rewards env 28,Learner Dones env 28,Expert Rewards env 28,Expert Dones env 28,Learner Loss env 29,Learner Rewards env 29,Learner Dones env 29,Expert Rewards env 29,Expert Dones env 29,Learner Loss env 30,Learner Rewards env 30,Learner Dones env 30,Expert Rewards env 30,Expert Dones env 30
1.194133,3.540216,100.000000,2.588408,100.000000,1.194133,2.379154,0.000000,2.617539,100.000000,1.194133,2.507568,0.000000,2.284694,100.000000,1.194133,2.600069,0.000000,2.639850,100.000000,1.194133,2.759698,100.000000,2.388709,100.000000,1.194133,2.308272,0.000000,2.283596,100.000000,1.194133,3.087486,0.000000,2.304225,100.000000,1.194133,2.630149,0.000000,2.440331,100.000000,1.194133,2.270720,0.000000,2.289163,100.000000,1.194133,2.797436,0.000000,2.500852,100.000000,1.194133,2.803677,0.000000,2.698764,100.000000,1.194133,2.798988,0.000000,2.471356,100.000000,1.194133,3.732689,100.000000,2.335796,100.000000,1.194133,3.032231,0.000000,2.576766,100.000000,1.194133,3.379868,100.000000,2.664411,100.000000,1.194133,2.642231,0.000000,2.459110,100.000000,1.194133,2.663836,0.000000,2.420516,100.000000,1.194133,2.469435,0.000000,2.321772,100.000000,1.194133,3.221508,0.000000,2.384947,100.000000,1.194133,2.975542,0.000000,2.345440,100.000000,1.194133,2.860514,0.000000,2.382929,100.000000,1.194133,2.617904,0.000000,2.205371,100.000000,1.194133,2.666302,0.000000,2.612503,100.000000,1.194133,3.468037,100.000000,2.261953,100.000000,1.194133,2.357378,0.000000,2.681121,100.000000,1.194133,2.558547,0.000000,2.250494,100.000000,1.194133,2.704654,0.000000,2.545523,100.000000,1.194133,2.509447,0.000000,2.585541,100.000000,1.194133,2.833737,0.000000,2.645214,100.000000,1.194133,3.614934,100.000000,2.441864,100.000000
0.399104,2.996326,0.000000,3.628959,100.000000,0.399104,3.464971,100.000000,3.255317,100.000000,0.399104,3.832111,100.000000,3.650888,100.000000,0.399104,3.372066,100.000000,3.415081,100.000000,0.399104,3.347367,100.000000,3.193450,100.000000,0.399104,3.248293,100.000000,3.641534,100.000000,0.399104,3.504742,100.000000,3.516164,100.000000,0.399104,2.874560,0.000000,3.611842,100.000000,0.399104,3.003776,0.000000,3.499706,100.000000,0.399104,3.269670,100.000000,3.294654,100.000000,0.399104,2.349104,0.000000,3.298011,100.000000,0.399104,3.564180,100.000000,3.527694,100.000000,0.399104,3.422489,100.000000,3.599375,100.000000,0.399104,3.394686,0.000000,2.672222,0.000000,0.399104,2.913486,0.000000,3.635327,100.000000,0.399104,2.375419,0.000000,3.385166,100.000000,0.399104,3.691232,100.000000,3.318082,100.000000,0.399104,2.770126,0.000000,3.347106,100.000000,0.399104,3.206915,100.000000,3.412067,100.000000,0.399104,3.398010,100.000000,3.248586,100.000000,0.399104,3.648460,100.000000,3.402201,100.000000,0.399104,3.324802,100.000000,3.288656,100.000000,0.399104,3.328095,100.000000,3.343945,100.000000,0.399104,2.614177,0.000000,3.190357,100.000000,0.399104,3.193826,100.000000,3.501936,100.000000,0.399104,3.561056,100.000000,3.517650,100.000000,0.399104,3.003147,100.000000,3.645554,100.000000,0.399104,3.389497,100.000000,3.431276,100.000000,0.399104,3.369373,100.000000,3.615870,100.000000,0.399104,3.274621,100.000000,3.536446,100.000000
0.204680,3.295971,100.000000,3.329740,100.000000,0.204680,3.247181,100.000000,3.246961,100.000000,0.204680,3.552468,100.000000,3.169397,100.000000,0.204680,3.444855,100.000000,3.266118,100.000000,0.204680,3.395024,100.000000,3.409827,100.000000,0.204680,3.338244,100.000000,3.441475,100.000000,0.204680,3.342340,100.000000,3.418222,100.000000,0.204680,3.476274,100.000000,3.252658,100.000000,0.204680,3.488782,100.000000,3.394114,100.000000,0.204680,3.277066,0.000000,3.448081,100.000000,0.204680,3.451242,100.000000,3.608862,100.000000,0.204680,2.692915,100.000000,3.285755,100.000000,0.204680,3.235916,100.000000,3.700392,100.000000,0.204680,3.678319,100.000000,3.330308,100.000000,0.204680,3.215883,100.000000,3.476993,100.000000,0.204680,3.518987,100.000000,3.532350,100.000000,0.204680,3.403596,100.000000,3.388289,100.000000,0.204680,2.853828,0.000000,3.639937,100.000000,0.204680,3.545400,100.000000,3.197873,100.000000,0.204680,3.534833,100.000000,3.342648,100.000000,0.204680,3.393429,100.000000,3.324194,100.000000,0.204680,3.304306,100.000000,3.320979,100.000000,0.204680,2.803510,100.000000,3.231981,100.000000,0.204680,3.325910,100.000000,3.563481,100.000000,0.204680,3.358989,100.000000,3.393014,100.000000,0.204680,2.855739,100.000000,3.526684,100.000000,0.204680,3.574437,100.000000,3.614852,100.000000,0.204680,3.512848,100.000000,3.254579,100.000000,0.204680,3.538806,100.000000,3.437253,100.000000,0.204680,3.626719,100.000000,3.310417,100.000000
0.166265,3.401326,100.000000,3.529421,100.000000,0.166265,3.257497,100.000000,3.234306,100.000000,0.166265,3.285578,100.000000,3.463985,100.000000,0.166265,3.379547,100.000000,3.502397,100.000000,0.166265,3.565134,100.000000,3.492537,100.000000,0.166265,3.322512,100.000000,3.490536,100.000000,0.166265,3.438631,100.000000,3.303556,100.000000,0.166265,3.398823,100.000000,3.418430,100.000000,0.166265,3.419454,100.000000,3.632594,100.000000,0.166265,3.550420,100.000000,2.760587,0.000000,0.166265,2.493065,0.000000,3.330362,100.000000,0.166265,3.636430,100.000000,3.453213,100.000000,0.166265,3.420163,100.000000,3.586554,100.000000,0.166265,3.296295,100.000000,3.305367,100.000000,0.166265,2.986994,100.000000,3.388486,100.000000,0.166265,2.997992,100.000000,3.433612,100.000000,0.166265,2.923225,0.000000,3.513589,100.000000,0.166265,3.665002,100.000000,3.219625,100.000000,0.166265,3.590866,100.000000,3.517885,100.000000,0.166265,3.289133,100.000000,2.753392,100.000000,0.166265,3.584286,100.000000,3.520084,100.000000,0.166265,2.759145,100.000000,3.349396,100.000000,0.166265,3.321042,100.000000,3.209603,100.000000,0.166265,3.413456,100.000000,3.465384,100.000000,0.166265,3.436701,100.000000,3.361293,100.000000,0.166265,3.486079,100.000000,3.573235,100.000000,0.166265,3.245640,100.000000,3.650421,100.000000,0.166265,3.453613,100.000000,3.211255,100.000000,0.166265,3.530843,100.000000,3.343468,100.000000,0.166265,3.234982,100.000000,3.260394,100.000000
0.156891,3.537928,100.000000,3.312499,100.000000,0.156891,3.599674,100.000000,3.391039,100.000000,0.156891,3.252192,100.000000,3.367817,100.000000,0.156891,3.226090,100.000000,3.646485,100.000000,0.156891,3.381051,100.000000,2.880541,0.000000,0.156891,3.551323,100.000000,3.568668,100.000000,0.156891,3.546599,100.000000,3.297213,100.000000,0.156891,3.217919,100.000000,3.579304,100.000000,0.156891,3.219448,100.000000,3.352624,100.000000,0.156891,3.573567,100.000000,3.633619,100.000000,0.156891,3.414887,100.000000,3.306866,100.000000,0.156891,3.278242,100.000000,3.239599,100.000000,0.156891,3.478277,100.000000,3.317519,100.000000,0.156891,3.263908,100.000000,3.671978,100.000000,0.156891,3.297008,100.000000,3.310234,100.000000,0.156891,3.173705,100.000000,3.254000,100.000000,0.156891,3.545161,100.000000,3.615825,100.000000,0.156891,3.219529,100.000000,3.461006,100.000000,0.156891,3.382521,100.000000,3.357871,100.000000,0.156891,3.186116,100.000000,3.325337,100.000000,0.156891,3.276314,100.000000,3.358809,100.000000,0.156891,3.259666,100.000000,3.448191,100.000000,0.156891,2.964762,0.000000,3.233034,100.000000,0.156891,3.493617,100.000000,3.061625,0.000000,0.156891,3.338309,100.000000,3.228584,100.000000,0.156891,3.134134,0.000000,3.523860,100.000000,0.156891,3.374411,100.000000,3.278471,100.000000,0.156891,3.443440,100.000000,3.599150,100.000000,0.156891,3.449926,100.000000,3.395006,100.000000,0.156891,3.300042,100.000000,3.207076,100.000000
0.147797,3.543078,100.000000,3.580865,100.000000,0.147797,3.352494,100.000000,3.257030,100.000000,0.147797,2.760225,100.000000,3.310762,100.000000,0.147797,3.567068,100.000000,3.478956,100.000000,0.147797,3.187320,100.000000,3.209364,100.000000,0.147797,3.555773,100.000000,3.497220,100.000000,0.147797,3.369439,100.000000,3.312721,100.000000,0.147797,3.611498,100.000000,3.412184,100.000000,0.147797,2.612165,0.000000,3.630124,100.000000,0.147797,3.212264,100.000000,3.497859,100.000000,0.147797,3.259134,100.000000,3.236497,100.000000,0.147797,3.313648,100.000000,3.306563,100.000000,0.147797,3.306016,100.000000,3.447560,100.000000,0.147797,3.540058,100.000000,3.395551,100.000000,0.147797,3.733323,100.000000,3.400049,100.000000,0.147797,3.517755,100.000000,3.308104,100.000000,0.147797,3.358966,100.000000,3.359844,100.000000,0.147797,3.445069,100.000000,3.695906,100.000000,0.147797,3.225493,100.000000,3.462194,100.000000,0.147797,3.343919,100.000000,3.498480,100.000000,0.147797,3.523249,100.000000,3.538298,100.000000,0.147797,3.292671,100.000000,3.398523,100.000000,0.147797,3.364663,100.000000,2.536572,0.000000,0.147797,3.475453,100.000000,3.478668,100.000000,0.147797,3.372222,100.000000,3.423301,100.000000,0.147797,3.316078,100.000000,3.356219,100.000000,0.147797,3.436644,100.000000,3.370050,100.000000,0.147797,3.505479,100.000000,3.520159,100.000000,0.147797,3.449550,100.000000,3.253357,100.000000,0.147797,3.284708,100.000000,3.382841,100.000000
0.133775,3.373672,100.000000,3.240087,100.000000,0.133775,3.270096,100.000000,3.330928,100.000000,0.133775,3.272797,100.000000,3.468606,100.000000,0.133775,3.586733,100.000000,3.291401,100.000000,0.133775,3.372097,100.000000,3.410513,100.000000,0.133775,3.573392,100.000000,3.371585,100.000000,0.133775,3.567315,100.000000,3.330388,100.000000,0.133775,3.508441,100.000000,3.394377,100.000000,0.133775,3.365961,100.000000,3.274709,100.000000,0.133775,3.173192,100.000000,3.556033,100.000000,0.133775,3.591989,100.000000,3.347762,100.000000,0.133775,3.628841,100.000000,3.276941,100.000000,0.133775,3.255301,100.000000,3.489816,100.000000,0.133775,3.352623,100.000000,3.205650,100.000000,0.133775,3.323435,100.000000,3.391039,100.000000,0.133775,2.897325,100.000000,3.382476,100.000000,0.133775,3.289131,100.000000,3.557287,100.000000,0.133775,2.971681,0.000000,3.362735,100.000000,0.133775,3.613769,100.000000,3.605817,100.000000,0.133775,3.350858,100.000000,3.439954,100.000000,0.133775,3.387040,100.000000,3.183805,100.000000,0.133775,3.264873,100.000000,3.468247,100.000000,0.133775,3.292480,100.000000,3.388936,100.000000,0.133775,3.408679,100.000000,3.584875,100.000000,0.133775,3.519748,100.000000,3.292574,100.000000,0.133775,3.266560,100.000000,3.305259,100.000000,0.133775,3.316426,100.000000,3.258738,100.000000,0.133775,3.260166,0.000000,3.663611,100.000000,0.133775,3.500933,100.000000,3.321865,100.000000,0.133775,3.411859,100.000000,3.047801,100.000000
0.131887,3.308782,100.000000,3.519490,100.000000,0.131887,2.751441,0.000000,3.606893,100.000000,0.131887,3.520725,100.000000,3.546700,100.000000,0.131887,3.570939,100.000000,3.430893,100.000000,0.131887,3.553136,100.000000,3.367466,100.000000,0.131887,3.402241,100.000000,3.265668,100.000000,0.131887,3.356952,100.000000,3.256135,100.000000,0.131887,3.268231,100.000000,3.294163,100.000000,0.131887,3.315104,100.000000,2.985703,100.000000,0.131887,3.586623,100.000000,3.355856,100.000000,0.131887,3.418532,100.000000,3.418187,100.000000,0.131887,3.321702,100.000000,3.403580,100.000000,0.131887,3.291684,100.000000,3.416260,100.000000,0.131887,3.621887,100.000000,3.300643,100.000000,0.131887,3.221305,100.000000,3.401468,100.000000,0.131887,3.670456,100.000000,3.302911,100.000000,0.131887,3.346301,100.000000,3.326982,100.000000,0.131887,3.368212,100.000000,3.606837,100.000000,0.131887,3.383790,100.000000,3.398012,100.000000,0.131887,3.423957,100.000000,3.300851,100.000000,0.131887,3.505694,100.000000,3.422858,100.000000,0.131887,3.296429,100.000000,3.204310,100.000000,0.131887,3.378135,100.000000,2.813221,100.000000,0.131887,3.558470,100.000000,3.430608,100.000000,0.131887,3.289646,100.000000,3.300345,100.000000,0.131887,3.330377,100.000000,3.300577,100.000000,0.131887,3.241518,100.000000,3.324785,100.000000,0.131887,3.517520,100.000000,3.530051,100.000000,0.131887,3.402481,100.000000,3.354499,100.000000,0.131887,3.636631,100.000000,3.369296,100.000000
0.117211,2.899475,0.000000,2.279337,100.000000,0.117211,3.417121,100.000000,2.662597,100.000000,0.117211,3.577029,100.000000,2.724237,100.000000,0.117211,3.425891,100.000000,2.647833,100.000000,0.117211,3.440718,100.000000,2.402145,100.000000,0.117211,3.633607,100.000000,2.606333,100.000000,0.117211,3.405856,100.000000,2.619267,100.000000,0.117211,3.435944,100.000000,2.514116,100.000000,0.117211,3.330188,100.000000,2.638664,100.000000,0.117211,3.391512,100.000000,2.475288,100.000000,0.117211,3.399678,100.000000,2.667345,100.000000,0.117211,3.391497,100.000000,2.476075,100.000000,0.117211,3.348613,100.000000,2.337206,100.000000,0.117211,3.237306,100.000000,2.245193,100.000000,0.117211,3.313022,100.000000,2.515725,100.000000,0.117211,3.194072,100.000000,2.595519,100.000000,0.117211,3.381311,100.000000,2.469180,100.000000,0.117211,3.413392,100.000000,2.362564,100.000000,0.117211,3.293155,100.000000,2.582869,100.000000,0.117211,3.240358,100.000000,2.575346,100.000000,0.117211,3.225722,100.000000,2.420721,100.000000,0.117211,3.270348,100.000000,2.406501,100.000000,0.117211,3.197992,100.000000,2.394677,100.000000,0.117211,3.683939,100.000000,2.448615,100.000000,0.117211,3.087075,0.000000,2.412404,100.000000,0.117211,3.490637,100.000000,2.581669,100.000000,0.117211,3.354144,100.000000,2.287524,100.000000,0.117211,3.643202,100.000000,2.337900,100.000000,0.117211,3.315894,100.000000,2.669855,100.000000,0.117211,3.403371,100.000000,2.430975,100.000000
0.135915,3.286970,100.000000,3.226521,100.000000,0.135915,3.324256,100.000000,3.335214,100.000000,0.135915,3.458352,100.000000,3.256262,100.000000,0.135915,2.965806,100.000000,3.594998,100.000000,0.135915,3.627992,100.000000,3.633332,100.000000,0.135915,3.273340,100.000000,3.179629,100.000000,0.135915,3.658768,100.000000,3.188452,100.000000,0.135915,3.652446,100.000000,3.327318,100.000000,0.135915,2.748285,100.000000,3.171707,0.000000,0.135915,2.958291,100.000000,3.421010,100.000000,0.135915,3.311294,100.000000,3.262813,100.000000,0.135915,3.434243,100.000000,3.610803,100.000000,0.135915,3.346965,100.000000,3.215620,100.000000,0.135915,3.562585,100.000000,3.248864,100.000000,0.135915,3.538930,100.000000,3.478785,100.000000,0.135915,3.572915,100.000000,3.228949,100.000000,0.135915,3.540148,100.000000,3.358524,100.000000,0.135915,3.286070,100.000000,3.555007,100.000000,0.135915,3.278422,100.000000,3.331919,100.000000,0.135915,3.280321,100.000000,3.199799,100.000000,0.135915,2.551259,0.000000,3.619910,100.000000,0.135915,3.366768,0.000000,3.458597,100.000000,0.135915,3.211068,100.000000,2.795303,100.000000,0.135915,3.176732,0.000000,3.591389,100.000000,0.135915,3.541318,100.000000,3.453057,100.000000,0.135915,2.289652,0.000000,3.119249,0.000000,0.135915,3.497764,100.000000,3.661220,100.000000,0.135915,3.237660,100.000000,3.541375,100.000000,0.135915,3.533352,100.000000,3.556990,100.000000,0.135915,3.335663,100.000000,3.457682,100.000000
